pubkey,votekey,dz_fee_lamports_926,dz_fee_lamports_927,dz_fee_lamports_928,dz_fee_lamports_929,dz_fee_lamports_930,previous_fees,paid_926,paid_927,paid_928,paid_929,paid_930,previous_paid
gangtCrQg5RmKf5yxvhvZThPugPX58pDSdQ5UuS26vN,gangtRyGPTvYWb8K3xS2feJQaCks4iJ7rytFUPtVqSY,74819248,96334053,115913626,111951527,132605772,1226751381,Yes,Yes,Yes,No,No,1226751381
gojir4WnhS7VS1JdbnanJMzaMfr4UD7KeX1ixWAHEmw,goJiRADNdmfnJ4iWEyft7KaYMPTVsRba2Ee1akDEBXb,66688972,90986275,132110352,93437285,149215379,5700842810,Yes,Yes,Yes,Yes,No,5700842810
gotasRuLTuJNZDtLHmaDJpEUjCWZqkHcuwbLhkgCwCX,Gotas1PRPrkqqSNm1ZKcn8Tpx9qL8krSQzTZ5DPKzkFX,26934078,68220150,92695297,77640828,35620251,3062463001,Yes,Yes,Yes,Yes,No,3062463001
gridqZmeBcsUKT2Mv4M9YFHFN3tVLFb2TCtTcLD1cAd,gridZ5cMHjWGktAQt6o36NtF7XSv19nJBrW83zmo7BM,277935122,340120018,520985418,412910834,357536732,19335544830,Yes,Yes,Yes,Yes,No,19335544830
grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,mnvkHm47ZmRKoSWuQZAfXLRiDPiKCq8PWkMWrp1Wwqe,645664093,856507507,1308928716,1041127323,904199176,42793948774,Yes,Yes,Yes,Yes,No,42793948774
hnhCMmnrmod4rcyc3QRKkLEC9XnPTvYJ2gBvjgFiV4o,hnhxfrndd827LET6jvnQV4aWqpS2EedaHcT4gj8ArSu,117926138,190869146,177636169,64990191,53888429,9408940236,Yes,Yes,No,Yes,No,9190422017
huinBRP3muBuqZLMW8ARjdn4mBnEmFFcxiBzrkQz553,G1juWDqojmp5CWDhgRqtXrtpAFw9xqhjmEQAKr9faf4V,102263987,78659264,84182652,73083935,89432796,7527616150,Yes,Yes,Yes,Yes,No,7527616150
hxMhrsuGPDmkLJ4mTxEjyeMST3VGhTiwJvS9XgHwePj,hxVjzDmta9TuN1gM981TRKnfwG2uZ9TQDGwSCs3uDow,130200023,207405233,163444063,175719334,136014863,13044673229,Yes,Yes,Yes,Yes,No,13044673229
hy1oMaD3ViyJ8i6w1xjP79zAWBBaRd1zWdTW8zYXnwu,hy1oJTV2kX9acsqpwk7hbteqXFw9VDbWvbxoamFEufW,438554293,671425404,654345899,535210822,672390686,29390256290,Yes,Yes,Yes,Yes,No,29390256290
hykfH9jUQqe2yqv3VqVAK5AmMYqrmMWmdwDcbfsm6My,HAYEKSWg2EY21k38St9X5yM7QMW6SunKDefs5SqYSFty,124638351,184480238,135089914,114387339,19584350,4349232186,Yes,Yes,Yes,Yes,No,4349232186
icex1C6pnZxznQWiHZZANjGU8nZ8kNquFnjyY7XXrXE,votem3UdGx5xWFbY9EFbyZ1X2pBuswfR5yd2oB3JAaj,71147035,205399153,178564586,146625567,98461283,7000530959,Yes,No,No,No,No,6902193510
idCE5k2BtTpwXdwAC7Var1enT9reut9fWECcxQP7LY7,Cer1umMkC6cvRGKKLP3QwxsdxsgxmC1EhqMhB1mqVvYZ,182820894,217256969,270707722,262421473,241795596,11635465907,Yes,Yes,Yes,Yes,No,11635465907
jagBNeXYncnn1hzwSq1JJ16XhWTgQ7DCFVqndSJZ6vT,jag77EXci8uf5uGmKE5izaYvxBCS5H9U2rxWYh8BUUf,191037169,206193529,281699773,219877181,278414267,12134304367,Yes,Yes,Yes,Yes,No,12134304367
jntr1vkzvSujfckGR6ANmFmirVoPBMNr5XJGKP5uDQA,jntrMCSkeNagaMM437fhZxLYbFJh6pvj68bQDZx2pXf,155572166,142482247,77623874,89244818,130675627,9507218109,Yes,Yes,Yes,Yes,No,9507218109
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx,665982539,775349053,1593759798,795600448,842486152,47369745291,Yes,Yes,Yes,Yes,No,47369745291
