"pubkey","830","831","832","833","834","835","836","837","838","839","840","841","842","843","844","845","846","847","848","849","850","851","852","853","854","855","average_rewards","dz_fee"
"DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy",549.514725429001,450.830856398999,505.243436609,497.385822543,341.638714127,393.282803802001,468.543970568,376.126760335,338.804669815,419.111674045999,460.232792902001,259.693009614,296.066358791,375.628158599,282.595951125,240.215903226,291.533639887,366.894616272,359.541059189,518.747519391,400.419573647,317.26251975,224.189162829,282.481868784,269.888592886,209.833160664,365.219512354962,18.2609756177481
"HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU",469.713938859,441.585847013001,517.143170517,507.321337370999,326.282177737,385.275409566,419.134678574,396.964926971,320.946489488,398.443204673001,412.995803209,292.841701263,333.783061234,420.149102572,331.089874887,266.81993061,316.714541749999,423.046075012,248.068527781,508.14362337,348.060950549,301.21417631,201.937473483,253.808452577,251.653796658,191.486467529,357.100951521654,17.8550475760827
"5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm",275.085381637,317.695332601,387.505252538,382.030480016999,264.346991206,313.044211055,336.356650918001,278.09457123,257.507910911,311.265116033,341.783907712,223.336016708,239.675944585,308.757423391,240.58721696,185.621316984,233.664187499,317.451327581,242.340821313,379.645128884,258.217501506,222.77218278,144.650721162,177.719372864,176.370166728,135.65325371,267.353014942808,13.3676507471404
"DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF",318.997426441,283.26426206,322.231720839,346.330107717,219.835487668,267.991628013,290.556516509,239.466156967,222.696374104,289.531057571,297.976891076,214.700163215001,216.229835155,264.503870299,229.378419749,231.932286595,280.623488136,384.828048746,240.026916029,405.944750122,266.419648242,236.618962582,152.658863012,189.001994485,179.171192966,137.345768551,258.779301417269,12.9389650708635
"Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk",311.977214163999,317.965766761,376.777842419,334.916184928,246.04176593,294.761010409,309.471803987,257.74635957,243.660220149,261.091868699,284.980165083,212.131205189,241.071861666999,289.185923228,247.684215625,189.910154978,224.55431278,292.163374571,233.455391821,346.949435066,271.750710691,214.199994073,152.510616862,199.285057209,172.128354775,156.246558148,257.023744953154,12.8511872476577
"q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot",287.972162832,293.114358024,351.017614258,321.216841117,222.070717974,263.944497941,275.809060566,246.062268402,223.175313054,266.113960924,286.124911611,220.090347166,216.370590976,254.370922467,211.000828344,175.706464824,207.997266836999,279.684480887,205.29361786,316.365745906,228.08590107,197.328011682,136.343562971,171.917942879,157.399200996,124.193929958,236.106558520231,11.8053279260115
"JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H",263.293947685,260.393646727,315.51724135,295.419061236,196.232075681,215.91530007,235.131423937,215.22039124,180.162364088,203.574331904,201.689679545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.777223951182,11.7388611975591
"JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.920094745,170.457535966,215.071221708,175.62544904,143.328501079,168.584146582,220.220533946,176.834310833,290.601302777,211.954106159,224.24538048,179.663894395,228.294798205,201.6929101,171.228073411,195.914817295067,9.79574086475333
"Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM",213.896785759,191.835896848,231.396110441,227.965476845,164.37673208,188.716930927,203.323883444,187.089758754,162.244872422,207.820644167,195.336985726,140.745400999,157.452365273,209.527911472,161.754265939,132.355357478,158.031995168,230.396057775,172.862363623,290.259671237,181.836657067,172.087965441,106.830090616,134.335139722,128.33707594,93.1556404129998,178.614309060615,8.93071545303077
