pubkey,votekey,dz_fee_lamports_859,dz_fee_lamports_860,dz_fee_lamports_861,dz_fee_lamports_862,dz_fee_lamports_863,dz_fee_lamports_864,dz_fee_lamports_865,dz_fee_lamports_866,dz_fee_lamports_867,dz_fee_lamports_868,dz_fee_lamports_869,dz_fee_lamports_870,dz_fee_lamports_871,dz_fee_lamports_872,dz_fee_lamports_873,dz_fee_lamports_874,dz_fee_lamports_875,dz_fee_lamports_876,dz_fee_lamports_877,dz_fee_lamports_878,dz_fee_lamports_879,dz_fee_lamports_880,dz_fee_lamports_881,dz_fee_lamports_882,dz_fee_lamports_883,dz_fee_lamports_884,dz_fee_lamports_885,dz_fee_lamports_886,dz_fee_lamports_887,dz_fee_lamports_888,dz_fee_lamports_889,dz_fee_lamports_890,dz_fee_lamports_891,dz_fee_lamports_892,dz_fee_lamports_893,dz_fee_lamports_894,dz_fee_lamports_895,dz_fee_lamports_896,dz_fee_lamports_897,is_paid_859,is_paid_860,is_paid_861,is_paid_862,is_paid_863,is_paid_864,is_paid_865,is_paid_866,is_paid_867,is_paid_868,is_paid_869,is_paid_870,is_paid_871,is_paid_872,is_paid_873,is_paid_874,is_paid_875,is_paid_876,is_paid_877,is_paid_878,is_paid_879,is_paid_880,is_paid_881,is_paid_882,is_paid_883,is_paid_884,is_paid_885,is_paid_886,is_paid_887,is_paid_888,is_paid_889,is_paid_890,is_paid_891,is_paid_892,is_paid_893,is_paid_894,is_paid_895,is_paid_896,is_paid_897
8RXYL85eGMyuUcBCMHt5owGvasySS4FYbmKTx4CqFkpe,AAfutJ61CwSB4Y1t5iBPVRRaq33nCDEot4WxbdQ6Bahn,69073018,130027754,91413738,117812715,84400898,64987497,90482635,77279740,69610218,81486799,83048407,92998315,107397952,103882598,116560900,186148816,97790497,119407096,128243337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8Rf7hLczBzGb71rmEjw3h9tTcxGijDiDHL651H9SfSFa,8cuBK2vJeqfukvSJQ2vaGDEBSnBoVD16L74SuHdnKjs8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes
8S1VXBgZvCsjgnRAMvxknx5BKT7APb8rFhyRVeeTx1SS,DggvF7asrbjrqvcvPPRKovy3VVvjCgvc2GnWVusxq2MP,36520056,40399849,26364473,43359707,99112998,68701780,31264611,46785327,53919722,36567807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8T8AJfUCXwPFwEMmjca8gCRSktPrqbUBVa6ggNyhLhFJ,DPsW8v7gkGUbPPRnraS5e163bDepd9tD537X9S231T2j,239350021,274793798,146565465,354899477,202281864,205534526,243326566,198303719,236890013,386262532,155147800,256135181,252264905,266171068,184178508,284339447,280100593,259789774,262487600,798942133,241263054,186853325,210114268,211719532,194246617,139249532,254173989,365676251,124213682,451479028,253517718,221924096,224204915,294490573,247281524,205685845,219385503,179180762,215697641,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8Yq98CFAorqAc3CN7XtMVgKLrBc78wsBvjhAbFr4sNQ5,EGg6LTZDgV9CgpPZnpTTzmebSSyaH91cQ2eoiDxiJPvm,0,0,0,0,0,0,33590149,54833756,38088010,57691091,32931610,62849365,33644261,23481292,39249555,57336606,9582411,50536405,65163130,90776379,102967585,43083734,48629167,58529125,46914562,54147435,49858900,69754131,64983380,91467017,82628504,78098027,66917683,70635727,78540671,105154216,37690725,0,0,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,NA,NA
8ZQg3K1V1Z2BVJkjmnxpi43WKhjPGXphzu5QmBkJibSP,7qTwituXJJ5dtUwBZXjMNgtAyXJbx3X8V4B9gXFRjK9d,0,0,0,0,0,0,0,0,0,0,123760955,208347899,246188112,255341931,224940568,309172669,233064855,194114181,237380024,252988058,196357900,190299300,197972598,233632379,174890259,131993036,206711837,165598507,225250220,459762478,204585657,193792225,151157687,243104387,300264373,205840273,220816461,199718627,194976205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8Zh5A5Hs6bJFAyWrLGMaF2VEUVbXFANtfuw7824Hd5XV,3P2Fq9v1NwtrVTnwPGj2qVdVwnSvuNovZJWGS7nRvoin,6680963,22062831,8193805,6632113,3805327,8906940,6224782,7365110,12824973,5148035,6012603,7440741,7651869,46404949,31711684,64848946,60796423,36245110,53224491,98370422,27262026,33456584,45091168,58924701,198397381,33146038,54577179,53408410,56483988,73971502,55517138,111932127,56989102,61894043,44867860,49351509,43076808,37117670,46897884,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8aPHvzVV91jZF948tykkoF6WfgLHppNfG8Z3V4gCrDix,7zKQnt19j7aZ1YjzBk6UUUdr5dGb65A36kW1TYAbB6b7,4814413,0,1818400,2306681,11748412,5517974,0,9825687,4183647,5228959,6893049,2229296,0,13446664,16850541,2101402,18559917,11572544,11730702,5145758,3216136,1195047,8739618,4448874,8084410,6517912,25634716,14450708,1965875,16011728,23070181,39103869,63977130,46338497,24411965,18692702,28698705,25405164,43940205,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8augxYLUge2iWmitQMwbcBL5VQEpsM6aJdRofhwpnzyw,o27rnqfNHPwHsRp2xPXXwWzn2q2dGxn6UD4Rt5KMU5h,0,135544480,111955271,167862011,130712482,109318346,143151985,114506930,173187731,210554746,100165456,124992471,319841456,168091257,134012549,181237953,82881185,149871080,105755283,156353754,117345857,40687805,86004301,109343322,100227088,52965177,118420290,123582344,123410879,75722510,153162986,94551944,97710832,94508610,95946856,106310801,77373801,114688349,167460464,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8hAYbagNt7CMBooFfqVJhBgLqLffpjXTWJMk8yybjJsN,74y2qkCaJ5L17hTsz3E8jftNxTBCTvdz4P2L6qTHDW59,301216949,333253873,224057832,712495599,384163511,271954510,307531580,295663165,313117059,310807037,217704026,281206921,265353901,300598010,325146602,340433192,427833228,316895690,305750989,345820158,314078825,246201848,284595066,351048396,237047798,190796575,271828448,214837710,305142353,292573306,300424421,239768151,252917591,274327130,315610857,199121377,300899396,232663939,251573008,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8n4pc4sCJtBeLfJdGyJn6EcZuhtfTiepRa9ExdJFdmEN,FnAPJkzf19s87sm24Qhv6bHZMZvZ43gjNUBRgjwXpD4v,0,0,0,0,0,0,0,0,0,220160651,248890814,163661325,176679890,200920298,122733296,255201741,233374065,203528344,153356412,183526074,195799377,199099981,155093552,216118401,116901059,141916839,161585527,189440215,158695276,127204015,119528537,181371567,167098873,177148579,179354558,161912962,138417147,160219155,107889816,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8n9KRHDRDuZErZwdwzhtsTFJxmHqgCQ4ddZcdk6GMzvQ,xSGajeS6niLPNiHGJBuy3nzQVUfyEAQV1yydrg74u4v,16859788,8410680,7808982,24685390,12964914,11173054,3969710,7289730,11326542,9638922,2840622,6973945,13580685,8550272,5201893,7983486,33985426,8839792,12027692,16990380,8338293,5466388,18856441,11001607,19608285,9079167,33695700,8657923,11307190,5133326,14997310,24639336,17463518,33438462,15982413,18257023,14814517,15723509,23375614,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8nbE53mcKhy74HLiGZ1q5HRocwiCvgh49csSaHSdtukr,HdQ1Ap8wm6Mz65FaP8jMNBVfCDv5T9NdS8UTSvHmcotn,0,0,0,0,0,0,50956544,24007284,76708527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8rWDbEsuz4UWF2ZXiHhMECPkTZm51YrRaQSoSz8RPz2H,8ZfSRfAuDLV86PaKSCNfgx3AU1w6Hp8sGrEgFTkHViCt,107103211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8uPW9msN75rfaKiwy8y8NxEX5zSk2WejtVv5YhZr3jCo,5daP6pZoPSak6UEKuRg2HHjvTPpqqwB113oNamGNKuuZ,118964939,155583186,94500045,187365751,105240114,142277041,130376841,99186923,137791519,143844140,136132025,103960011,204605918,173176656,124748958,135323058,125496357,143444815,85172547,213819472,186900875,151224796,152835174,134450924,133413539,102387976,76713594,94551542,127186467,126013530,136962215,101162599,167729954,149722332,205977642,94801986,109649095,106629335,134919447,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8vk6QpG93JSaQCSgnycBsv5qmfQBk4qC9FjNA35E5JhU,2ZP7DPXW6gwMRSY9PSXQ75fZLrk4gKWKnT85pK5sVPa5,303278418,297133750,299813406,382459681,257785811,291151574,328579768,261013615,815680780,310703166,259554402,300525659,420673313,367400859,345961931,390564722,433626132,308199453,373092038,427656059,391302363,316672369,251643627,285574450,298197552,329816649,272034446,295320975,422386214,285038492,487592366,235260495,283326212,391397686,396389195,308219200,270756702,649138644,273740500,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
8yjHdsCgx3bp2zEwGiWSMgwpFaCSzfYAHT1vk7KJBqhN,DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao,0,0,167128647,153429391,181963228,135393348,173526886,118756592,119204864,110681176,119356639,179507556,155209549,158514682,151853492,245244414,214830965,124610107,168650466,238093479,115152541,106684740,109631856,138062081,179529361,145590418,184430141,107177373,120218803,168162944,237536437,131038008,177582488,186621719,253687840,353945328,148012942,133849135,373742487,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
91oPXTs2oq8VvJpQ5TnvXakFGnnJSpEB6HFWDtSctwMt,Ac1beBKixfNdrTAac7GRaTsJTxLyvgGvJjvy4qQfvyfc,152721696,265415462,210883129,260294518,189857739,147952636,167358902,152655428,184122365,211424392,200294780,204454844,415834979,269325728,300388362,316812344,382832166,179701739,229271582,323637251,227838230,132775443,122569419,215697784,133414459,159928544,231308047,201468790,139639816,256360706,190583551,520978471,121591387,201238880,133345416,109734539,125818682,153366614,569422986,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
93fX4gLgnUkcf3vmGBzuNKEt4em2tHxgmVcbq9vNq4jE,BJipnsRJCxgcMoYc7Env7ee2YASTtwLuyvD23AsJ3E6U,0,1437910,0,0,0,0,0,0,0,0,0,2994613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95A3UmKrAmTuNJkjipBULk5wHopiFvLWfxTKmhR6AzQc,Eyy5wPPQQcuaEBQUfDmyHkRfeqfmd4n1xWZKy1CpGQZJ,18942506,5451620,1820068,0,0,0,0,6860184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,No,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97jbhVBYcSmwGXjrx5PPWXucDsVBqwyoQ6rzP3B6eeMt,57GUg9QH2LFMV11oaduuoqVJ5qHDEp7EGJ2xgkGiqAum,52407524,25117511,25684986,74390209,53407529,82439286,27121053,35112681,62779961,57641583,66944336,135974161,169241128,150778729,110186425,131104469,150627138,154178937,143039289,218687615,180061890,178619181,158803077,119834270,111731276,87712327,113094455,109046024,140300644,223683585,161182279,99866010,133747383,164408393,252505034,180123284,130291404,121665699,92343069,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9FXD1NXrK6xFU8i4gLAgjj2iMEWTqJhSuQN8tQuDfm2e,2g2QU1NDRax6i2mKzRwgRfdBFoDkMC6bj7Zp5Q3i8sCq,205368452,190854663,187312241,270442126,187465520,159802957,228358184,109898341,211770419,232944794,137036966,156972006,259053277,231491888,223888885,187374873,209266828,152202369,160566029,176252356,134164812,130295185,130889983,123226619,267651074,91317837,179058458,119240695,149883726,139914423,574237573,170093410,170083675,152230019,103182564,117497999,185554960,156368951,163619427,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9JdZLEKhA7k6SxRQ4cJT2Zh5JhRUBJGXcjTNwMtTwSiz,7r1g7s6UjYuosRCHwedpGRCbJhZqM2LhUPxgoayRE6Rm,48628467,64069114,75698649,74537840,41570959,6687414,4581171,13145472,29836125,87381590,42323785,50947077,53406165,29196139,44414659,27898330,21088850,16925251,29605332,29450998,16544950,12565637,11230460,67191641,21348414,19749471,27386933,15916194,19772675,30248161,14230352,23659640,31256790,28128708,25451576,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,NA,NA,NA,NA
9QA1fzbAKJicmRoFa9wFnYYx2PGYn97s8Nh6VojBMvCi,EsELtZoep4TYcugKyMnB4ZWZYxn99V5Vb1TwexDzFey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9T6SNsBimjCRJpkEjiVsc8AcxTBa1XVA7RjnBGGfWP23,5cYwwC8dmQ2tvtjDueHrU2B6NvmTHmoimsNGeGXVbkP8,76720646,91195936,77390513,286211535,131418167,126322793,113219190,89750697,140483403,116621014,101309009,91521437,128832638,127363721,99315520,73979163,119742295,122860245,46495058,127175159,55710143,60884701,204561731,120089131,74759941,82235082,157824988,155784169,171361881,121409719,148073229,79236053,134862009,130483773,241448960,81508382,163342450,63611067,476499453,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9USijQaAfSzw6gWbHNq68VVigmj3HvffDJYhbK4tfquB,773eL4qyoHUi6s3pWWEWTnaYXELNs4nY5deMevpSF5YE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7592846,3909224,3559139,32730236,7492941,8242922,8590044,11396414,16362698,1578609,14966432,4854934,0,20822149,11965801,34081325,27143669,63639389,32929886,28559675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9Wmaz9VPpEnH67ZqrvYd9bcH66DtsGaEKcSQE1ac5wkf,3Z1N2Fkfha4ThNiRwN8RnU6U8dkFJ92DH2TFyLWJf8cj,226958870,186201521,117247681,345118872,107295269,107331589,117778874,108258343,123158186,69398674,122021449,145118899,105515505,136104554,130282867,172128195,151588867,154651228,119543245,158158731,122276233,90781614,139753502,125332205,91579511,97033237,191822862,140691313,121454549,130892692,150807176,119228744,132901126,136173788,185195042,95209682,116092848,125013958,129366887,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9dH6wfdJVgnDcbCUjT8rkmejAzTnGQaFarmLfvBYXANK,GakAanHMN4dYY8rMKL1e6uUKjNJj2nN2sENFaxzdMEBm,60371854,100007135,102276101,421891641,92485921,143070913,134565842,95196874,184267019,108908943,118690056,94156508,195108788,91750585,94878025,118027483,97871373,84199964,81204562,116935295,100764957,75557674,74947131,84809357,66174581,78355592,72619644,78695226,82340543,57752274,118921717,65774892,82032623,72677390,119114521,100824229,119466427,56629080,69976941,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
9gFxqsXbFyrKXUkqpAatonn47uYZ7sEZSnMxhzQoXrUJ,48oxpSHQkM4sdXUY9NQ8KnEtebzZbyk8uUT7JRdVQNuf,213827020,270382429,159394905,189350219,116850401,321292507,270257307,499654189,247849480,169777954,185360071,176282716,268201673,252387410,178699032,288735519,238970883,215596154,218369620,319502401,195200426,156982172,177607012,281950414,208667156,161629923,200341499,196411874,194738770,242469062,373932400,189202399,187759629,318917275,245316191,204822216,227117532,290739860,229928028,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9maF99FLLAMh5v5JKG1ZyRZVBVsT5VkZnAJzDvduCpJa,HvuXZAhAqSekCFueQ92DqxhuFvdBRrWeyA6uea6ZaS8q,210174917,196595838,143470788,138934293,105600997,66681024,50311699,58592665,53622157,64699565,47369405,97229210,146190946,82719336,114207062,103206643,112748248,92774408,149506101,135841210,90064647,74588072,89638665,86353228,58902473,48890676,81035764,117444868,85629069,80846937,85760295,83212091,44297015,123758099,163775191,89675811,107568998,49577292,66585968,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9pBHfuE19q7PRbupJf8CZAMwv6RHjasdyMN9U9du7Nx2,FCvNkHa4U3yh7AXWGGL2jWLWiSRouR8EtzY5WVTHKTHa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88839387,84561107,77275792,81196019,104922928,92448265,68290697,177554270,111462415,178893973,206957993,90619595,111379653,107460588,169316858,222204195,186317107,164963629,159373220,136457717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9q16BB7WGmBxf1nJTdxH5zPnBUhtHqdqXqRFjSjuM4k7,GK9MfwWEK7BvMS8eQDaiEPnKcqMJoS7SKUiEBQY2pfxC,21014859,26978246,11242221,52786996,32352670,38276763,25890357,12950174,50653655,24223643,42171817,32410192,36844059,52264256,20371436,39188981,9282143,48202467,34506458,63622675,73196728,34835642,32985040,72994157,49905168,26122101,29539554,50645766,39810502,51823718,32308152,49176431,34188870,65711703,72751470,45748606,51687603,29516993,42560656,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9r2CsyjRTmTRtu8GFk5oJRSQr5YfSENxDkf3eox8iPLa,2iWXwF2Q5W6o7yntV2mkbxncB4rYHnX61y3NU8a8EFMJ,523159879,729566083,398229141,1004434561,413164059,428168281,548366726,361159050,698788781,460965500,519924210,495589869,433469798,582074123,397381238,514096999,495884092,400659012,420928687,598566477,501431151,322778032,338125072,511629721,281406533,268605227,356929207,347376511,340138714,356492818,390789383,497779407,550302828,389514803,487083915,383493960,319938002,318977993,313632489,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A79u1awz7CqnxmNYEVtzWwSzup3eKPNW6w2Jrd56oZ3y,6UDU4Z9TTbYy8gcRKBd7RX3Lm2qMsSR4PMuzoyYPzLma,65242220,63637422,32573575,75982323,39733676,62410888,68566161,64728677,59478825,76125231,62638542,62429921,71526795,66965952,71232936,64094003,67983754,61381633,154152880,72696027,80548780,47043138,146954839,70812945,54331724,41932664,61275470,75265852,54752925,62319054,90079795,50372332,77061968,99651336,104202705,47455652,109125903,65978596,77533126,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
AB821LfpFBwedJEfoNFZRsiPvcSxXPBNMgjyGC7RuNfS,HSjWikZVP8JmNUa1VqZuQuhQzkK4WrBmiJn1VVEtvuZQ,108490911,102607600,166503877,313777569,223210521,0,176001538,120501761,131396039,131256544,91731722,98781378,161253187,132404038,84420754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABREU5YkQcfpDZymoQ97iGUgQcfgjctWUUxEMfumiPdV,ABREUtpzkkMiPHrBebpsYDU3mubtSohjDKZbyRoTJLae,15147529,34913600,18115588,20859796,22177805,11018591,13814905,28277046,40713887,21055896,21362021,25659591,18566967,53423613,36538142,13814438,7865078,36427889,19393132,12320172,53311979,23400004,27810408,45671614,17273490,8861381,26092269,40479639,42432686,37736928,67208470,39397539,33428800,49674649,78536600,15463453,31383155,40469798,34865053,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
