pubkey,votekey,dz_fee_lamports_859,dz_fee_lamports_860,dz_fee_lamports_861,dz_fee_lamports_862,dz_fee_lamports_863,dz_fee_lamports_864,dz_fee_lamports_865,dz_fee_lamports_866,dz_fee_lamports_867,dz_fee_lamports_868,dz_fee_lamports_869,dz_fee_lamports_870,dz_fee_lamports_871,dz_fee_lamports_872,dz_fee_lamports_873,dz_fee_lamports_874,dz_fee_lamports_875,dz_fee_lamports_876,dz_fee_lamports_877,dz_fee_lamports_878,dz_fee_lamports_879,dz_fee_lamports_880,dz_fee_lamports_881,dz_fee_lamports_882,dz_fee_lamports_883,dz_fee_lamports_884,dz_fee_lamports_885,dz_fee_lamports_886,dz_fee_lamports_887,dz_fee_lamports_888,dz_fee_lamports_889,dz_fee_lamports_890,dz_fee_lamports_891,dz_fee_lamports_892,dz_fee_lamports_893,dz_fee_lamports_894,dz_fee_lamports_895,dz_fee_lamports_896,dz_fee_lamports_897,is_paid_859,is_paid_860,is_paid_861,is_paid_862,is_paid_863,is_paid_864,is_paid_865,is_paid_866,is_paid_867,is_paid_868,is_paid_869,is_paid_870,is_paid_871,is_paid_872,is_paid_873,is_paid_874,is_paid_875,is_paid_876,is_paid_877,is_paid_878,is_paid_879,is_paid_880,is_paid_881,is_paid_882,is_paid_883,is_paid_884,is_paid_885,is_paid_886,is_paid_887,is_paid_888,is_paid_889,is_paid_890,is_paid_891,is_paid_892,is_paid_893,is_paid_894,is_paid_895,is_paid_896,is_paid_897
2zykwzzo1pd3H2oSj5j5SRLTvmpa9Nr2S2Bh8tTVd5Tq,Hmq1oALENff8DejgYhJxB4njb6pyCtuMKKxotdZicB4n,132809477,207481312,170392585,136951036,145854140,140081349,335087258,130436263,150306357,237629832,162620964,251948397,216140530,204309081,192350816,196632370,208196845,134035715,260186592,167679279,174477352,104049388,110770051,118736136,119545298,86202083,183516404,170088507,92259472,230032641,94455150,150809671,136375107,181135412,177286620,91430574,124761498,126810438,128904402,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
31Vn7q63y4hyzL9DV5gdMF17tSEmq65i4dpzQssM4rhE,CX312wwMGh4j4vRfpfHFSr32A7wxeESKvjp9iZfVaRYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3ARtLeVB83RoGAwRot8dh74pc2uqbPi6JwbkwDzqk91m,T2B5S9sTJCRi9mcpCbHi2rAdqfT3Y7tsm6ahnWhvH75,104379908,271181754,105828729,172156363,106307261,183675911,107419719,135758773,233650267,140761693,141046808,127819771,144789079,146349744,91990417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3B2mGaZoFwzAnWCoZ4EAKdps4FbYbDKQ48jo8u1XWynU,edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT,0,0,0,0,0,0,0,0,180369627,191671512,171049740,166136157,344529599,349950779,164921752,226193797,410934089,248748187,257327022,234446152,186914320,192474869,200937870,260173121,312516024,270682753,152106022,187115428,180636717,277737224,248411698,203006350,222118946,226676834,237278357,171721689,208615084,195804136,177343834,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3BeharBd3j4sKQp7Qze27JLQLd9AEEwGTX9TC7dXYSNw,CP6mfD4Qc5AYrboXBAQeHMYj5x1UnYksDXRjG7DMkHH7,0,0,0,0,0,0,0,0,0,0,0,0,0,181800609,68582244,123545728,89924822,98841422,111634120,92155897,79755900,43136656,79294399,79850115,44381827,61595623,97896510,90579044,67852963,70164258,59419631,78004945,79101065,76243763,98816686,43023444,72932840,83737339,57168215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
3C2cXXVHCm2w2EWnHUNxhtZCB2EMv2AeJ4TpW5ws18fi,HjQugFHAUm7XbaZhmjnGioNUccdMUnFmwFTJgepm5q3n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62873996,45535441,210536986,159634022,215103623,141938660,175095287,270328778,244633163,239125576,212557940,214116788,286409072,229205078,215264740,226772808,206465168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3CKKAoVi94EnfX8QcVxEmk8CAvZTc6nAYzXp1WkSUofX,4MU64AyHBkRBUAYgAm91sP5vFgzUUgFHuS82CVhE8Q2Q,0,0,0,0,0,64983422,38142708,48179319,50239782,32114387,42971839,30098363,2757030781,47499446,46569209,83575743,69217298,45403878,44808273,39048886,54901139,31108367,50233620,78862123,45528475,56437638,72165318,85842642,64075462,87931446,127338970,79115659,128346847,123191785,151079882,83447759,138137506,69375139,134264317,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV,2ZiMfQaT59j86HVWCvspuMtBotnVBeTc3BKk3kKpwgKP,126364529,142966311,127331760,274430621,152153829,153607353,152795718,119007689,188676980,208822209,130071265,114408733,119246187,151781737,120623953,170544341,199074293,124989956,195999379,176180211,162912909,223472414,129165791,191868915,134892185,78054569,114936565,190892858,90976146,132776546,137433792,136361847,183264855,171347518,254463000,97394987,163076297,184839897,327225502,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3NAiocPECqQVLB23jHBbb5zgPqkacdSu5UReUtJ4YMrj,2bUEQXx88Gog7ysqoAfY3mRdHtw5eYdfeCkbcMsm48RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC,94EhHE7MaKHq4p8oFADeyizDjwYwgFn1YBYGky8mR35z,0,85779979,71889761,69473054,68678474,115317913,55710535,62999830,61930365,111297051,59062899,83303660,134541350,81254469,93525660,206653404,102197565,89527074,265210322,163666838,135612473,139382389,149080866,146447163,163463651,108554918,151589819,206222661,156815674,160448195,1423034247,99280374,158782144,122550972,149979894,116138838,173171420,171431684,201992146,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
