"pubkey","votekey","stake","commission","mev_commission","inflation","mev_rewards","block_rewards","dz_fee"
"6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK","7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq",2916667.65537848,100,100,1042.80057461,26.703218385,77.675057213,3.88375286065
"krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1","KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",2883753.60474191,100,100,1031.035756921,18.332516463,72.438749899,3.62193749495
"9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i","9jToNMWCLW1GeoLGPZNvEfuXE4AUwiRsrC1HMGmh3PTu",2879039.05456807,2,2,500.972999128,31.144857781,80.086803038,4.0043401519
"DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP","FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",2701695.45889945,7,8,276.449979445,73.367419749,64.859439994,3.2429719997
"DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp","9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs",2576084.89153166,2,2,33.681104217,37.812435758,62.989957092,3.1494978546
"FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS","BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT",2535490.42354615,100,100,906.51415363,14.825277317,62.000509186,3.1000254593
"GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc","At2rZHk554qWrjcmdNkCQGp8i4hdKLf52EXMrDmng5ab",2502415.68858607,100,100,894.695431904,24.289182951,58.669361551,2.93346807755
"5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z","72LbWsZFEyB7xrB9ggeoPUrSw2vzPEnsPJJHZo1svkM7",2502415.68048948,100,100,894.694520175,29.079347934,65.27543028,3.263771514
"GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46","oixpqSNX7CKWHw93ViA8u1CcLzZXDmacKJjV4AvxMZE",2502395.55269682,100,100,894.678105723,45.135155942,55.810394476,2.7905197238
"BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq","2uXzxR2EZVaHE3CuaDaUJ8C9Qr54LMfwkY5BtRPAzbPE",2502391.13872091,100,100,894.683928044,29.215621263,63.094101021,3.15470505105
"76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ","8mHUDJjzPo2AwJp8SHKmG9rk9ftWTp7UysqYz36cMpJe",2502383.45449874,100,100,893.876611871,62.070207863,60.5410493980001,3.0270524699
"3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd","BhREyEsP3YAtQbTCrKcXgTNTeaq9gdjWji3Nz4d8Q1P2",2500000.95038256,100,100,893.830008702,22.299547109,59.124746418,2.9562373209
"HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac","HDc84gs3CtqhebHycmoDpc5n2y3CFfd5GqYZkr2XiBMR",2500000.93738256,100,100,893.827020758,27.409748434,64.816670572,3.2408335286
"DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4","JDMq8hxZnad2smKLGkFbfg8zVMZHKQcMugD4tMR9u2da",2499999.99217168,100,100,893.825126325,42.8966694,56.249222383,2.81246111915
"Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex","33hurzEz6aEnzfESL6pnNyR6DCgcKzssT1pwSzDCBTRQ",2499999.93966544,100,100,892.437617624,83.106784743,60.403534759,3.02017673795
"2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx","BU3ZgGBXFJwNTrN6VUJ88k9SJ71SyWfBJTabYqRErm4F",2499999.93966544,100,100,892.291436336,50.273515779,62.972807421,3.14864037105
"FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k","E9W5kU2fnha9yp4RmFZgNNsRUvy6oKnB9ZyR9LC81WaE",2409417.93838256,100,100,861.442570166,21.504370496,63.606275181,3.18031375905
"Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs","BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",2388165.04322784,0,100,402.062404046,61.922771568,51.773160885,2.58865804425
"5ikB9XZNVsjwKb6hHT3FS3So1Z1SrDvU5yaniWEQyDEG","55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",2337848.67574803,8,8,444.68238785,53.06697546,53.165889615,2.65829448075
"22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU","HxYHGzR58gyf6c4JAX85eK8GVuaZU2zne4be82Lq9SBQ",2322628.99512362,100,100,829.532623902,60.435423555,52.639412074,2.6319706037
"CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9","8hPk5CbKDoM7dN9LssTdVkFhDykeq7A8CZurA5AQSFJH",2295202.96711762,5,5,53.02851057,23.074243099,67.213755928,3.3606877964
"9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7","GqcuMuWq4gKeCuCrD8iAjXTozCET2EP6qJXmZDFsSTWK",2189118.95908223,8,8,454.471089107,22.398959416,54.164192089,2.70820960445
"HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML","CxFH1pqJnEmyaE4wEwqdqMKpQMpkmdaMxhS7SzpHokA8",2182665.92162986,100,100,779.227047167,22.551860318,54.215983008,2.7107991504
"AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD","FjkSLYmi6BJAJQn1iSLUGrPrBQjMaD4y1DVdnv3yaTsX",2083334.28043832,100,100,744.859909307,21.115347759,54.614139981,2.73070699905
"G9vCpJUUSpEm4zPwzSNpDmZ8MGwLEbiSLV59EBzCGvzM","8UHnwrLihP4q1fZjAYGCZdGgtAkCaFiDLXa33r7niRjD",2020105.64502628,1,0,368.629600774,13.420965083,51.500882319,2.57504411595
"DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf","9Diao4uo6NpeMud7t5wvGnJ3WxDM7iaYxkGtJM36T4dy",2011192.96316756,1,100,532.294954045,56.184218805,57.697434073,2.88487170365
"2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb","8wTSPukwTAzNzEYyUdc8UiKkTg1hNtZ1xLum7o1Ne6wr",2005488.2496104,100,100,713.954153569,14.062817955,53.213907276,2.6606953638
"7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL","HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",1992355.72567007,0,0,303.956329085,50.033315984,35.379491838,1.7689745919
"6TkKqq15wXjqEjNg9zqTKADwuVATR9dW3rkNnsYme1ea","GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e",1986096.51633714,0,100,322.194350289,10.423347961,47.980350925,2.39901754625
"DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8","Haz7b47sZBpxh9SwggGndN3fAyNQ1S949BPdxWXS3ab6",1918579.51548026,0,0,241.092596691,52.356767154,58.346451541,2.91732257705
"7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE","8BMMDVM8Tb88a2Hx1VSZ1TKmH1rMHbVU7xVafMk9JrEW",1875000.9534662,100,0,670.371230624,0,40.448451888,2.0224225944
"CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd","EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72",1872639.12738098,0,10,322.878916281,10.345364338,46.567355282,2.3283677641
"3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt","74pfDmYto6aAqCzFH1mNJ8NxF7A4LQ4cXkipGwgjY39u",1837000.18355872,100,100,656.430029352,40.18124426,40.779193879,2.03895969395
"HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p","HhYEE3dAShc3772wEiy73XDYnLjVxyBL8eAWKyRcF14y",1835664.80072854,100,100,655.233114555,11.105376193,44.057483139,2.20287415695
"A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4","HkFuE9NJahP7uA8RooXtp64UQb7XNUMVisWsJTgx3far",1676736.18015754,100,100,587.950691747,9.940397069,40.198117154,2.0099058577
"DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz","DriFTm3wM9ugxhCA1K3wVQMSdC4Dv4LNmyZMmZiuHRpp",1665598.42216572,0,0,643.838902358,46.361333473,53.372249918,2.6686124959
