"pubkey","votekey","dz_fee_lamports"
"12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk","Cw2b2ng2fa78ndCXHcJMT1pqvdGxUHu5EBEB8KBshrk",32715197
"13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk","GLB3jUr5zuu79zFuEH3KP7boxtWsjHVyYRBK2SPshrk",11770329
"1Link6hB1NpkCwJt3ZtpQKZszKauhEcKgiWjaU8PRDG","1LinkCP4qUqGvUiNuAWhAxQyopdBxsh4vhfLBb4apyR",8941853
"1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i","1i1yax3thZfiV8id5HTA61bjsxEi4pbjmhXsqy6JePP",215791245
"23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er","4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN",308554774
"2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc","CHiaohVV2SQCFhiYP73iQzWT6HxnZqnAZJJqAYTeLAo",141480288
"2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU","C8MLmDCg3LReWoNCkFdHgsscFpHx2WdtcU9ZziNfXrhd",29741300
"2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5","Fe5zMqkmoYbwnXH9RHjFy7YMRnak9so2bzPBroPJ4iiX",15036736
"2N7v8pDKDYhtBUJBQUgxvysUjgM9s4ULPCmeEiPWTf6Z","F3scMRjzSvXUa7JoK2uwBjNsYGi5sM84sDzE7FfGBo6o",147730814
"2P9ZYA4vBoBBr56hrEFTmrd5ctuz3r7wtvRYmbgk6jRL","FGtsnE1HB4bBi6g4xAt5mvWtuC3qBPWPBgWVrnRmUiVH",170446567
"2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc","BrRf2kyJEuW8TgdeDjvJcKK4NzTzRtM9RB6WuVKXHxkN",161549993
"2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H","Luna8BkZNpZ9DKmszrZYPvFpTr4eJJfxxTnGDwTrYkv",88493718
"2Ue9zGmDnvYRrJNEjuAdNkbbickw6fKWtbeNM7T2rakg","6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn",66956580
"2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C","Ebm1XKkMzaFg2L5rzLPBnFHMtpDPa6SWJ7nVUzZUmXmR",160199459
"2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK","EogKVYgic8LKAuV1kR9nRqJaS5zpwCvSMfqoehzmAMpK",96269912
"2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX","3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7",217123440
"2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B","CzGLRXJXoDo9q86MpphPVNNsTgAxHvZfUfAiouWDH89M",32851850
"2kVZVTY8FMRZ3WuHzyqNz8qd4Ytbba9f9DaesUm5WLvR","4FsAxdHQ6HmFrDD7yCwsKNApuA67QYSCMoLAy3NfySxJ",34953617
"2nhGaJvR17TeytzJVajPfABHQcAwinKoCG8F69gRdQot","mNyQrNRYAuL2CwNCGmCsmwj9EcG88Sf8hs5rCirZaUr",103297515
"2t53LvZfskcpXkdwLaBnfZLbNgyVHPu2BNFpcRBaEBhM","Gvt8s5Bwnhg4G27VbnT1Zkfh7Jsztq6CNvZcc5anPonS",317824188
"2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m","Dcoj98wWiKhA4iqxcSg7NtuR2miA7tZqtycMdkPo8XDw",335840198
"2zykwzzo1pd3H2oSj5j5SRLTvmpa9Nr2S2Bh8tTVd5Tq","Hmq1oALENff8DejgYhJxB4njb6pyCtuMKKxotdZicB4n",134035716
"3B2mGaZoFwzAnWCoZ4EAKdps4FbYbDKQ48jo8u1XWynU","edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT",248748188
"3BeharBd3j4sKQp7Qze27JLQLd9AEEwGTX9TC7dXYSNw","CP6mfD4Qc5AYrboXBAQeHMYj5x1UnYksDXRjG7DMkHH7",98841422
"3CKKAoVi94EnfX8QcVxEmk8CAvZTc6nAYzXp1WkSUofX","4MU64AyHBkRBUAYgAm91sP5vFgzUUgFHuS82CVhE8Q2Q",45403879
"3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV","2ZiMfQaT59j86HVWCvspuMtBotnVBeTc3BKk3kKpwgKP",124989956
"3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC","94EhHE7MaKHq4p8oFADeyizDjwYwgFn1YBYGky8mR35z",89527074
"3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS","BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU",275984236
"3Rv6ZVGUuRczP76322LyhTTYw2iM4avV4B5xFJocQJer","GaxxAn5335dA4U3772MCFeqdyqCVEfmsQTQ47YXfC2Xi",129242235
"3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5","D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj",273561270
"3tm92VTxwyZ5MDhGoYR4tVTkwWYkzfam6hwBjauUACCk","4m1PbxzwLdUnEwog3T9UKxgjktgriHgE1CfAhMqDw7Xx",238049873
"3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ","5afRnmkFn1pRU9oussqwk1RRBVyoDgUkL16Jz4qNf574",45870657
"43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2","EBVj3uwSKZpqEb1K267JaPxDQhULVqCy6hYeQqjsPh81",200264586
"451X5rboJpJtXK2gj4dLsXv8yCGfujqus2HsYjMkkSpE","FqERCVEHjm9P9hghJwWbyN4TqwCCAYteeX1v6gBtt88p",9026339
"49j9bnkdgVNxLwsZ9h88sPR5MYEmsUyKrrJ6ZW8ijBrb","9QFvZhLvpbcFJTPkKq5wTWR2DGTXqrsP8z9igPgjSsZ1",68242701
"4GEEKSwuiBHWTff9WaqrDcToZjbX6KYdyB4c578Zxse2","4GEEKSwzc242QKF1uzzodpFaxb4GShQEZhkZfeXd27Vi",1649530
"4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf","sdo2QoiSsPknraeCts5GeBkV3AYDdtuxJ3VpYCS1CxR",165622477
"4VrjyXQT61WFSjuG3ehgqZUK1jqvYqB46veQbXLotq3n","FahWJg2PkphJaMUUCzdYhXkD5NngUuuFRFD3YCE3BSwb",132337256
"4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy","9sWYTuuR4s12Q4SuSfo5CfWaFggQwA6Z8pf8dWowN5rk",388167342
"4YGgmwyqztpJeAi3pzHQ4Gf9cWrMHCjZaWeWoCK6zz6X","8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp",37042026
"4aRPyjsqqFsf5488a9QAaHJLQJMGwoL5P6wRtLmroe2d","8EVaZkBcoJAAyyRZfozNAnZiEopgPvnixx5Ja5PpVDae",148978425
"4b1onMDEasBh4BuPekQWijx3BYR64hAE1z2jJyeZUkck","6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ",94348338
"4k6wgP5WPBKQpsFGtzuXNrjcTE2fKWLj17nDvFeG5zSF","8zuMRTXThoPTTPLLvaiKiJshLLCqGMt9BdRjjCL19xBc",287892285
"4mzLWNgBX67zVwTykNnq96Z6KQLc8UyV5Q35EfVCDifC","8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf",44459975
"4uH4G6YiD5G8rU3mtPg73C2Uqamrqedy3FboTZcZrh6x","EJHf5N9is5spAF5Kz384tTvTV3CwTka6qzUoZrYm53SV",311232479
"4vXCtYfPeracuQg3a67Zx4jvtJco6MU3LKip8ax6GkVq","EPrq1DvsWqX9CHBKgMU7gxvNvPbqRLhbqz2QzHcPFzab",2141547
"4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib","DvFTFLrEQSfEadPQdesvf5bpYWYqXK9iaJAjq95piQBs",133075047
"5HYjArGt81naevDdwMaEx8yeGNw9jYBSDJa8YavT9Mp4","4ibf8qJirtoBGg7gSD7V7CeCKoFB96PBYQ3J5QjSmAob",213070340
"5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk","ksQuu3JAStVXUeDCHeW6QtVRHNMcdtgPyepUd3Yshrk",46331534
"5N8rWeZbNWLJDYTohNfpH4JAXiPhnicVYKrucW1shrk","MWogB4b5RamyKE4mur8a8iRy63gZqyDfDF7ebDdshrk",18495739
"5N9r2ne7dPgHtzeHC5ETJ3DAueKQiXSU8KAmEZrrojT7","H7fXvnLCKtZqJBTipxeseabGfAZUdHJ9XuP6hCKrbvUb",6662846
"5XKJwdKB2Hs7pkEXzifAysjSk6q7Rt6k5KfHwmAMPtoQ","GMpKrAwQ9oa4sJqEYQezLr8Z2TUAU72tXD4iMyfoJjbh",142433543
"5aD6KB8g4MPt3xJafmMmun86hHMDnoFiGbd5gYiMFZw7","QWmexgr4teHa2ZF85tyf2hvEwBvJ6ioAEr1h8DRjoie",195717768
"5ghoFEVrsXeAPB6SUmBpZ2xq3KvHEjNMeSaBnxEBXkHV","J6KaKtLRj7eQGuVVL2CAz1AS9kDxsrmej9QbYkEtsiAD",3643409
