pubkey,votekey,dz_fee_lamports
14GtGcdikcK33tFBhedZ4rYTHcTpWveCxLXvR3Ydx9zS,3aEjXz1cQwMMk5sMA73Ev1RcaYzknQNFPkZx7jYeDEqS,2054324955
1KXvrkPXwkGF6NK1zyzVuJqbXfpenPVPP6hoiK9bsK3,1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,317692035
1i1yPyh843bTfi5qPgqozTbDcEX65rUNEFcUT2KAs2i,1i1yax3thZfiV8id5HTA61bjsxEi4pbjmhXsqy6JePP,202651090
23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN,932911676
2AKKnirWVZMhnzuwqpizw9SwfZjGpRFLx2zCCNtPWpbc,CHiaohVV2SQCFhiYP73iQzWT6HxnZqnAZJJqAYTeLAo,308220705
2Eq6YD8P8QXTeoz9h6JHjgZ55t8RSxNdx4waMDCoPmQU,C8MLmDCg3LReWoNCkFdHgsscFpHx2WdtcU9ZziNfXrhd,130386886
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,Fe5zMqkmoYbwnXH9RHjFy7YMRnak9so2bzPBroPJ4iiX,53981258
2N7v8pDKDYhtBUJBQUgxvysUjgM9s4ULPCmeEiPWTf6Z,F3scMRjzSvXUa7JoK2uwBjNsYGi5sM84sDzE7FfGBo6o,83643664
2P9ZYA4vBoBBr56hrEFTmrd5ctuz3r7wtvRYmbgk6jRL,FGtsnE1HB4bBi6g4xAt5mvWtuC3qBPWPBgWVrnRmUiVH,195510181
2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc,BrRf2kyJEuW8TgdeDjvJcKK4NzTzRtM9RB6WuVKXHxkN,138392602
2UBhtRuyr9nvWsUnrbWrvJiYWEU8TVBD4PLYQJKiRa9H,Luna8BkZNpZ9DKmszrZYPvFpTr4eJJfxxTnGDwTrYkv,173044882
2VKu11f8zc3huqDQUN6WJTFpX32PgHpXXjf72P6YvYMd,EUiPhYZ8NoWX5ZzDh2cRR1fAS4su9jjV3YE7veyactzd,120219600
2X7WoaXX9KPqNrNfvguhnwo3rjFPNsfw2t75fGjWRthz,BmMVRAVef2qmJ1tJpG3JwRUtnfEiTbvDw9ZeFEi4wE7D,119835461
2XmhZKHmfjku3T3nC9xKhgr5bm1CAmWXqNsNt49mo82C,Ebm1XKkMzaFg2L5rzLPBnFHMtpDPa6SWJ7nVUzZUmXmR,305159475
2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK,EogKVYgic8LKAuV1kR9nRqJaS5zpwCvSMfqoehzmAMpK,166740085
2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7,814727240
2icWF7TvxyycF7d1NHpMZYuJJqiRy2h7wmjFSbqUij1B,CzGLRXJXoDo9q86MpphPVNNsTgAxHvZfUfAiouWDH89M,172789003
2kVZVTY8FMRZ3WuHzyqNz8qd4Ytbba9f9DaesUm5WLvR,4FsAxdHQ6HmFrDD7yCwsKNApuA67QYSCMoLAy3NfySxJ,813940656
2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,8wTSPukwTAzNzEYyUdc8UiKkTg1hNtZ1xLum7o1Ne6wr,5472853832
2nhGaJvR17TeytzJVajPfABHQcAwinKoCG8F69gRdQot,mNyQrNRYAuL2CwNCGmCsmwj9EcG88Sf8hs5rCirZaUr,110419459
2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns,6tgtejPHUHR1pECzXqQT8EHZqnKCWZFSqdZXDyBaKe3b,326026625
2t53LvZfskcpXkdwLaBnfZLbNgyVHPu2BNFpcRBaEBhM,Gvt8s5Bwnhg4G27VbnT1Zkfh7Jsztq6CNvZcc5anPonS,394288828
2uxEHizFmmnLekKG2LZJwxNabhpymEYfdVCpgDxjt87m,Dcoj98wWiKhA4iqxcSg7NtuR2miA7tZqtycMdkPo8XDw,128490923
2zykwzzo1pd3H2oSj5j5SRLTvmpa9Nr2S2Bh8tTVd5Tq,Hmq1oALENff8DejgYhJxB4njb6pyCtuMKKxotdZicB4n,130192571
3B2mGaZoFwzAnWCoZ4EAKdps4FbYbDKQ48jo8u1XWynU,edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT,409119311
3BeharBd3j4sKQp7Qze27JLQLd9AEEwGTX9TC7dXYSNw,CP6mfD4Qc5AYrboXBAQeHMYj5x1UnYksDXRjG7DMkHH7,73932614
3CKKAoVi94EnfX8QcVxEmk8CAvZTc6nAYzXp1WkSUofX,4MU64AyHBkRBUAYgAm91sP5vFgzUUgFHuS82CVhE8Q2Q,246666102
3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV,2ZiMfQaT59j86HVWCvspuMtBotnVBeTc3BKk3kKpwgKP,187622897
3DaifGfDESUzer5ggUeo6UDjqEKMkCpdNSrrvyuggHVe,H1SztaSNXFAYGRS7tL4APK7b6XmpXSx6L5C8h2YGtXnD,15173083
3Pfubj3ytkRxFAGwFb5vtacuZJUxko5Du39xie9MBXuC,94EhHE7MaKHq4p8oFADeyizDjwYwgFn1YBYGky8mR35z,122489492
3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS,BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU,624431591
3Rv6ZVGUuRczP76322LyhTTYw2iM4avV4B5xFJocQJer,GaxxAn5335dA4U3772MCFeqdyqCVEfmsQTQ47YXfC2Xi,93219493
3V2xaccDpFib4DbTksdiveNDmiwpXBqSWyjSof3w1Bg7,34yvUa2fxfm2tUqxFEj9PHrVNwCcdzd51eo9hntWpZRs,145256817
3psxMyr7rQzywVp1MXKd1XFmFz33NjydzCoJx9t2sMQW,23XqhxnRHt5gQWHowvyRHDX4Ky6BZyFdYxjTzxx2QEFr,2483201735
3s97yjq2MhoPVPC3U9VeE3Z5S643Pweovg88ysvrQPw5,D3QPJm7BDzzPeRG51YZSEz3LfV7GvFNu9NkcibzURxuj,456864412
3tm92VTxwyZ5MDhGoYR4tVTkwWYkzfam6hwBjauUACCk,4m1PbxzwLdUnEwog3T9UKxgjktgriHgE1CfAhMqDw7Xx,173722649
3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ,5afRnmkFn1pRU9oussqwk1RRBVyoDgUkL16Jz4qNf574,159522356
43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,EBVj3uwSKZpqEb1K267JaPxDQhULVqCy6hYeQqjsPh81,537974179
49j9bnkdgVNxLwsZ9h88sPR5MYEmsUyKrrJ6ZW8ijBrb,9QFvZhLvpbcFJTPkKq5wTWR2DGTXqrsP8z9igPgjSsZ1,79998483
4GEEKSwuiBHWTff9WaqrDcToZjbX6KYdyB4c578Zxse2,4GEEKSwzc242QKF1uzzodpFaxb4GShQEZhkZfeXd27Vi,87396770
4SNKY7GCp7ohY4AawND5Cc2D71sWMWN3Uifo854yvtks,HeQ9mBd2RA3JLkBUBcyJJTGhcFtRPeQuQKY2qx1VU3RA,640956491
4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf,sdo2QoiSsPknraeCts5GeBkV3AYDdtuxJ3VpYCS1CxR,57052798
4W3jdXyqhLCjzA3Liu8ZNjViwrc6N9YjSB7obbxfjcKE,3hhEWRNAVzqRjmF9hW5nYkrmDMxKKzGziE11Sg7yk3iX,280225569
4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy,9sWYTuuR4s12Q4SuSfo5CfWaFggQwA6Z8pf8dWowN5rk,408567657
4YGgmwyqztpJeAi3pzHQ4Gf9cWrMHCjZaWeWoCK6zz6X,8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp,57135563
