"pubkey","votekey","stake","commission","mev_commission","inflation","mev_rewards","block_rewards","dz_fee"
"peNgUgnzs1jGogUPW8SThXMvzNpzKSNf3om78xVPAYx","pENgUh4K9zNacyU3PXVE9KugW98XCqZsWpEvA8d8wzX",67393.879183074,0,3,23.128571349,0.228711209,1.006143091,0.05030715455
"hykfH9jUQqe2yqv3VqVAK5AmMYqrmMWmdwDcbfsm6My","HAYEKSWg2EY21k38St9X5yM7QMW6SunKDefs5SqYSFty",67228.104051204,2,0,23.234109218,0.196917908,0.551650141,0.02758250705
"ChaossRPGKnsVhX1GfPC78yq5Sqju4cMThcAsKZNz5d6","ChaosDKeBjU22B4nnvYWXyTRPuWTzJBR4m3QPfBw6Tta",66793.596167569,2,5,23.642022415,0.409126048,0.496446963,0.02482234815
"BJvrWSfonXnS2Km8iA9KLY6D6vS3GcsaUwUNPFBumTca","GdVBPczdFaPf1GXvx8ByHeA1ZHAHwwmdQEPihH74SXm9",66059.343719552,0,8,22.831900445,0.303699408,0.695116681,0.03475583405
"2Ue9zGmDnvYRrJNEjuAdNkbbickw6fKWtbeNM7T2rakg","6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn",65861.106868733,5,9.95,22.74626339,0.107835012,0.412233922,0.0206116961
"AdSHK6vpQnwHRSw7jXUwjMEytmhFwnynZSENhvpAxL1y","9NZ18GkTnXZug6eXAzpBsmyCsYfAJ7mL9bgUfSJDSAKr",65201.527555903,0,7,22.519981735,0.216037098,1.048011283,0.05240056415
"novaeuhY2JH2WHhc9KVTHDx2cyJZdXJC6faf4CtARZn","novaoLcuVHSudkW3Cphuhiv82vspN5qzinGCtEbwQxz",64318.515888602,5,10,21.989070284,0.432732958,0.763937827,0.03819689135
"burncPhAzPbo9QCzN9j8ig2FKZjwDhM5zgN2eW3GmWa","burnn86ebxJnhtk3cfpHoZxy5nUaC3K9U8VwzgqhEEt",63339.358253847,5,10,21.587047281,0.168980661,0.949063325,0.04745316625
"3cZSHGfNdaULpFAvGbWbxpVwzXB4gHdk8NFucPNR5pgA","HJmfKJjKiyuuxFUuXgecgD5gdD312apCpHwZt6ETuRMU",62961.371529659,0,10,21.358794207,0.173419983,0.615118752,0.0307559376
"7TYbdqaFpHbLUWBe6fTc19XPweUMN6fB3GBW3TzZWu1i","7YCDRyGNn8g3WgZg25JLB9wKuERMkj99AFc8zHAQVwSt",62795.095881012,0,0,22.926081093,0.86318304,0.695040262,0.0347520131
